mSVL,fSVL,mVTL,fVTL,mmass,fmass,,
75,76,88,85,9.8,11.48,,
78,83,90,92,10.28,14.11,,
90,80,93,95,14.76,13.62,,
86,83,91,102,15.02,14.82,,
88,82,95,107,12.66,16.51,,
85,84,100,80,12.53,12.57,,
81,81,83,88,13.98,11.98,,
80,79,89,90,12.22,11.59,,
85,,101,,13.53,,,
79,,101,,12.8,,,
81,,97,,14.11,,,
73,,93,,10.64,,,
77,,98,,13.13,,,
83,,93,,14.55,,,
83,,69,,11.76,,,
72,,92,,8.88,,,
78,,80,,11.7,,,
82,,83,,14.83,,,
