ID,Time,Fix,Disturbed,release_type,Sex,SVL,Temp,Rainfall,Humidity,Cloud cover,Distance,Direction,Ht_ground,Tree spp,Tree_ht,Microhabitat,Orientation,Activity
21,1531,4,2,1,2,81,25.8,0,44,2,0,0,0,3,0,5,3,2
21,1406,5,2,1,2,81,22.1,0,92,8,8.82,85,0,3,0,5,3,2
21,1259,6,2,1,2,81,24.1,0,75,6,0.5,347,0,3,0,5,3,2
21,1409,9,2,1,2,81,21.3,1,94,3,0,0,0,3,0,5,3,2
21,2352,10,2,1,2,81,20.7,0,81,0,2.25,260,0,3,0,5,3,2
21,1604,19,1,1,2,81,15,6,66,1,1.45,60,1.5,1,4,2,2,1
21,1150,21,1,1,2,81,21.2,0.2,81,8,0.7,140,2.8,1,3.9,2,2,1
22,1526,1,1,1,1,77,23.4,0,61,1.5,18.1,310,1.65,2,3,3,1,1
22,2335,2,2,1,1,77,14.3,0,73,1,25.75,298,0,3,0,5,3,2
22,1246,3,2,1,1,77,25.7,0,43,5,1.5,122,2.45,2,3.26,6,3,1
22,20,11,2,1,1,77,19.9,0,87,1,8.72,10,2.19,1,3.68,1,2,1
22,1539,12,1,1,1,77,21.3,1,94,3,2.26,249,2.14,14,3.67,6,1,1
22,1502,15,1,1,1,77,19.5,14.4,64,1.5,1.98,354,2.4,14,3.72,2,2,1
22,1259,16,1,1,1,77,17.2,0,69,7.5,0.61,50,2.53,14,3.72,3,2,1
22,2239,22,1,1,1,77,15,6,66,1,2.5,290,2.1,5,3.9,10,1,1
22,1316,23,1,1,1,77,19.1,6.2,54,4,0,0,1,4,3.9,10,2,1
22,1220,24,1,1,1,77,21.2,0.2,81,8,1.6,260,2.1,1,4,2,2,1
22,2318,28,1,1,1,77,17.5,0,82,7.5,2.33,160,2.2,1,3.71,3,1,2
22,1515,29,1,1,1,77,25.1,0,61,1,1.74,157,3.38,1,3.84,6,1,1
22,1325,30,2,1,1,77,21.4,0,76,8,4,345,2.12,1,3.56,2,1,1
23,1556,1,1,1,1,83,23.4,0,61,1.5,11.9,205,1.75,4,3,2,1,1
23,1336,11,2,1,1,83,17.2,0,69,7.5,4.23,198,1.68,1,3.46,3,2,1
23,2330,12,1,1,1,83,19.5,0,73,5,9.3,310,3.1,4,3.3,4,3,2
23,1215,16,1,1,1,83,19.1,6.2,54,4,6.3,210,2.1,6,2.6,8,1,1
23,1505,18,1,1,1,83,23.2,0,66,6,2.43,356,2.05,6,3.45,1,1,2
23,2340,22,2,1,1,83,15.2,0,76,6,6.44,203,0.7,11,1.78,14,3,1
