release_type,site,KUNeri,MYOlae,Grass,PITten,PITcra,PITeug,COProb,OLEpan,PSEarb,PSEcra,PHOten,KNIexc
SR,1,0.59379584,0.224797704,0,0.123477315,0.006060606,0.002777778,0.00649316,0.042597598,0,0,0,0
HR,1,0.475196948,0.261624882,0.110293152,0.064408918,0,0.014814815,0.042983441,0.004115226,0.011695906,0.005050505,0.005847953,0.003968254
