release_type,site,branch,branchlettes,trunk,foliage,foam_cover,long_grass,ground,flax_leaf
SR,1,0.603814866,0.01807468,0.002604167,0.296623712,0.058049242,0,0.020833333,0
HR,1,0.561517513,0.008547009,0.05252849,0.159795542,0.017806268,0.155147059,0.030769231,0.013888889
